publish_date,id,title,sentiments,effects,sound,behaviour,tags,people,location
2020-12-19,lI0cAcTqu5k,EIN BLICK 01,0,0,0,0,0,0,0
2020-12-19,I11eXWM-PM0,Lost & Found,0,0,0,0,0,0,0
2020-12-11,NAdGgCkfVI4,Kampf Gesang: ไทย - free man,0,0,0,0,0,0,0
2020-12-07,madJsWJUFog,MADNESS,0,0,0,0,0,0,0
2020-12-05,nWnEFry__CA,Life After Life,0,0,0,0,0,0,0
2020-11-25,x4eJ3ck75vk,"Der informative Einfluss, der allgegenwärtig auf uns lastet",0,0,0,0,0,0,0
2020-11-13,5xdyuKowZVw,WRONG WORLD II,0,0,0,0,0,0,0
2020-11-12,I7dMJzvwEVE,WRONG WORLD : Life after COVID,0,0,0,0,0,0,0
2020-10-21,GALySk-AIa4,SUPER ZERO HERO : Nightmares on Planet Earth,0,0,0,0,0,0,0
2020-09-30,Uivg5liDDUc,TRAVEL TO THAILAND,0,0,0,0,0,0,0
2020-09-20,3hkcPbCUbJ8,DARKSIDE - Die Schattenseiten des Daseins,0,0,0,0,0,0,0
2020-09-20,SXRcXxfdcds,COVID-19 : Die Geschichte wiederholt sich,0,0,0,0,0,0,0
2020-09-17,MfxakPSnkk4,You believe in Covid19?,0,0,0,0,0,0,0
2020-09-17,n10YD85CYyk,bewusst Sein,0,0,0,0,0,0,0
2020-09-11,I4mVYROBYxk,Katastrophen COVID Zeiten,0,0,0,0,0,0,0
2020-09-09,F2HWt6QvEnc,COVID-19 - Real Life Situation Report,0,0,0,0,0,0,0
2020-09-05,cPaT0OlLehc,"massimo: salvarsi ! ENGLISH VERSION ! Same Same, but different.",0,0,0,0,0,0,0
2020-09-05,oJObX8p8Cn4,massimo: salvarsi ! INSIDERINFO THOMAS ADF VEIT,0,0,0,0,0,0,0
2020-08-27,8_mcp8okRyo,Spiel des Lebens,0,0,0,0,0,0,0
2020-08-25,domTvWABYeg,THAI Talk,0,0,0,0,0,0,0
2020-08-21,kfLRugjTIBo,SOS,0,0,0,0,0,0,0
2020-08-12,z8cG9XBG1es,A QUESTION ABOUT MONEY ?,0,0,0,0,0,0,0
2020-07-31,te1EWcqMiRs,DISTRESS COVID-19,0,0,0,0,0,0,0
2020-07-28,wdINWJMeGTk,In Zeiten der COVID-19 Krise erfährt die NWO ihren Höhepunkt,0,0,0,0,0,0,0
2020-07-25,Dm05JEZaItY,Die Grundsatzfrage,0,0,0,0,0,0,0
2020-07-25,MpePYcZQd_Y,ALITA : Battle Angel,0,0,0,0,0,0,0
2020-07-25,m2e7rditndc,"Mode Trend Maske : Nein, Danke !",0,0,0,0,0,0,0
2020-07-22,u96iRiTG8bw,Notstand in Thailand : Falscher Hass - Der Fall Porsche Cayenne,0,0,0,0,0,0,0
2020-07-22,VjR8229f5EE,"Die NWO schägt zu : Wer die Wahrheit spricht, braucht ein verdammt schnelles Boot!",0,0,0,0,0,0,0
2020-07-22,NlIZCujKq44,"BLACK goo,  COVID-19,  NWO und DU",0,0,0,0,0,0,0
2020-07-18,nY3jvizHyp8,"COVID-19, wenn Du erkennst . .",0,0,0,0,0,0,0
2020-07-02,SpVSGh2yUXQ,Trainingssache - Wie wir arbeiten,0,0,0,0,0,0,0
2020-07-02,2E_kayEiWDE,Gedankenfrei im Kopf - Wie erreichst Du das?,0,0,0,0,0,0,0
