,Unnamed: 0,id,polarity_x,subjectivity_x,polarity_y,subjectivity_y
0,0,Rps9SBzcQ-g,0.1252551020408163,0.0693877551020408,0.1252551020408163,0.06938775510204082
1,1,_Qc4JmBnepQ,0.0864035087719298,0.0701754385964912,0.08640350877192983,0.07017543859649122
2,2,QtwTarBARF4,0.1472625889436235,0.0800407088122605,0.14726258894362354,0.08004070881226054
3,3,es Menschen,0.1466684654631084,0.0822782574568288,0.1466684654631084,0.08227825745682887
4,4,ot Thailand,0.1725757575757576,0.0656565656565656,0.17257575757575766,0.06565656565656566
5,5,aY4yZTf-n-w,0.1252083333333333,0.0671296296296296,0.12520833333333337,0.06712962962962962
6,6,hh1_VnPfZRw,0.1213768115942028,0.0666666666666666,0.12137681159420287,0.06666666666666667
7,7,VkoRfFX2Gpo,0.1198768939393941,0.058603896103896,0.1198768939393941,0.058603896103896096
8,8,BlFIJ7My2vE,0.0,0.0,0.0,0.0
9,9,tGDaZ3-Qyhg,0.1879257347470239,0.0911579241071428,0.1879257347470239,0.09115792410714288
10,10,upGIgtkqO3Y,0.1557188835130013,0.0776787482669835,0.15571888351300134,0.07767874826698355
11,11,KxIDtFMoYSU,0.2223809523809523,0.0714285714285714,0.22238095238095237,0.07142857142857142
12,12,WO9OWc7PzDw,0.0942255266418835,0.0750929368029739,0.09422552664188351,0.07509293680297398
13,13,Ezh8Tyo29yg,0.133395061728395,0.0206172839506172,0.13339506172839505,0.020617283950617286
14,14,Y92lLF7PHpI,0.128422619047619,0.1026785714285714,0.12842261904761904,0.10267857142857142
15,15,RtcR5bE_VUM,0.1217391304347826,0.0217391304347826,0.1217391304347826,0.021739130434782608
16,16,anQVCYP-P94,0.0940079365079365,0.0607142857142857,0.09400793650793653,0.06071428571428572
17,17,7MxjqT6bEoE,0.0598298855061149,0.0965020817069997,0.059829885506114996,0.09650208170699974
18,18,KaQGSiZb47Y,0.0527363184079601,0.0393034825870646,0.05273631840796019,0.039303482587064675
19,19,qzkha0zXYH4,0.0279761904761904,0.0539682539682539,0.02797619047619048,0.053968253968253964
20,20,yuCEApg7AKo,0.1336788097747001,0.0309548898589994,0.13367880977470017,0.030954889858999447
21,21,18cS96b2s3U,0.0635148514851485,0.0574257425742574,0.06351485148514852,0.05742574257425742
22,22,f8ZKGvqnWts,-0.0148214285714285,0.0821428571428571,-0.014821428571428572,0.08214285714285714
23,23,NsGGLWKIrnM,0.1698533635676493,0.0837339380196523,0.16985336356764938,0.0837339380196523
24,24,JrezMoan7h0,0.0641749174917491,0.0574257425742574,0.06417491749174918,0.05742574257425742
25,25,bKtDmdwnxXU,0.1503816974869608,0.0605026078710289,0.1503816974869608,0.06050260787102893
26,26,iTjvOdYoVbE,0.1742139001349528,0.0634856371698477,0.1742139001349528,0.0634856371698477
27,27,ZvN_exsAWzE,0.217816091954023,0.0755747126436781,0.217816091954023,0.07557471264367815
28,28,MWdoaCwLG1s,-0.0387596899224806,0.0604651162790697,-0.03875968992248062,0.06046511627906977
29,29,KXc_hH_BDRM,0.1178608058608058,0.0756410256410256,0.11786080586080583,0.07564102564102565
30,30,dD1iKzA_XPg,0.1894736842105263,0.0526315789473684,0.1894736842105263,0.05263157894736842
31,31,9LIIxkjokFY,0.103047619047619,0.0864285714285714,0.10304761904761903,0.08642857142857142
32,32,i8SE-fMUy2c,0.1365505226480836,0.0804103755323267,0.1365505226480836,0.08041037553232674
33,33,0_a0UfH2vX4,0.0848660714285713,0.0571924603174603,0.08486607142857139,0.05719246031746033
