;leben welt wahrheit;genau verstehen passiert;matrix ähm heißt;sehen weiß nehmen;buch einfach thema
buch einfach thema;0.41043710440000003;0.43852989410000004;0.2709962876;0.4317023225;1.0
genau verstehen passiert;0.48339620650000004;1.0;0.5513198222;0.6028667183;0.43852989410000004
leben welt wahrheit;1.0;0.48339620650000004;0.38821619999999996;0.4108453219;0.41043710440000003
matrix ähm heißt;0.38821619999999996;0.5513198222;1.0;0.4012698887;0.2709962876
sehen weiß nehmen;0.4108453219;0.6028667183;0.4012698887;1.0;0.4317023225
