Source,Target,Type,Id,Label,Weight
14,8,Undirected,25347,,240
125,0,Undirected,25349,,290
179,0,Undirected,25351,,260
20,11,Undirected,25352,,258
12,24,Undirected,25355,,238
49,105,Undirected,25356,,194
0,106,Undirected,25357,,245
31,67,Undirected,25359,,179
83,0,Undirected,25361,,252
0,51,Undirected,25362,,278
21,27,Undirected,25363,,266
80,108,Undirected,25364,,174
0,33,Undirected,25367,,293
25,8,Undirected,25368,,293
440,109,Undirected,25370,,147
6,21,Undirected,25371,,263
0,110,Undirected,25372,,205
0,111,Undirected,25373,,280
36,6,Undirected,25374,,233
463,112,Undirected,25376,,176
14,2,Undirected,25377,,258
11,4,Undirected,25378,,240
522,113,Undirected,25379,,145
0,114,Undirected,25380,,233
143,116,Undirected,25384,,161
90,117,Undirected,25385,,144
92,1,Undirected,25386,,266
48,0,Undirected,25387,,260
171,0,Undirected,25388,,254
232,97,Undirected,25392,,143
111,1,Undirected,25393,,261
1,119,Undirected,25394,,279
29,45,Undirected,25395,,183
0,19,Undirected,25397,,240
0,120,Undirected,25398,,266
61,1,Undirected,25399,,279
563,68,Undirected,25400,,170
0,121,Undirected,25401,,247
0,122,Undirected,25402,,212
25,7,Undirected,25404,,252
54,27,Undirected,25405,,260
0,124,Undirected,25408,,212
28,11,Undirected,25410,,243
0,30,Undirected,25411,,264
91,2,Undirected,25412,,202
413,6,Undirected,25413,,179
2,36,Undirected,25414,,239
27,7,Undirected,25415,,230
54,118,Undirected,25416,,173
147,99,Undirected,25417,,259
0,126,Undirected,25419,,257
33,127,Undirected,25420,,166
2,29,Undirected,25421,,238
176,0,Undirected,25424,,246
6,128,Undirected,25428,,231
85,1,Undirected,25429,,270
21,12,Undirected,25430,,260
21,24,Undirected,25431,,228
48,130,Undirected,25433,,154
128,0,Undirected,25434,,250
63,14,Undirected,25435,,251
11,6,Undirected,25437,,267
750,30,Undirected,25439,,135
392,131,Undirected,25440,,134
12,54,Undirected,25441,,246
28,6,Undirected,25442,,261
36,31,Undirected,25444,,246
151,1,Undirected,25445,,254
351,11,Undirected,25447,,197
88,1,Undirected,25449,,202
281,6,Undirected,25451,,182
1323,1,Undirected,25452,,152
84,0,Undirected,25454,,265
30,4,Undirected,25455,,171
36,12,Undirected,25456,,250
88,36,Undirected,25460,,207
159,9,Undirected,25465,,132
8,21,Undirected,25466,,251
1,72,Undirected,25467,,185
63,0,Undirected,25469,,243
7,22,Undirected,25470,,217
0,134,Undirected,25471,,190
30,1,Undirected,25472,,222
2,111,Undirected,25473,,256
4,54,Undirected,25474,,197
27,14,Undirected,25475,,232
57,37,Undirected,25476,,130
165,0,Undirected,25477,,242
12,22,Undirected,25478,,246
57,135,Undirected,25479,,148
0,136,Undirected,25481,,184
44,0,Undirected,25484,,236
125,11,Undirected,25485,,216
31,12,Undirected,25486,,239
54,11,Undirected,25487,,235
74,3,Undirected,25489,,165
53,12,Undirected,25490,,250
7,31,Undirected,25492,,230
24,31,Undirected,25493,,194
11,24,Undirected,25494,,254
918,21,Undirected,25496,,145
339,21,Undirected,25498,,163
408,138,Undirected,25500,,127
1389,139,Undirected,25501,,127
57,1,Undirected,25502,,146
2,140,Undirected,25507,,192
70,141,Undirected,25510,,150
54,38,Undirected,25512,,148
6,54,Undirected,25513,,232
74,8,Undirected,25514,,228
310,0,Undirected,25515,,196
21,11,Undirected,25516,,240
0,66,Undirected,25517,,221
0,13,Undirected,25518,,236
629,142,Undirected,25520,,125
4,28,Undirected,25521,,237
27,28,Undirected,25524,,222
0,143,Undirected,25527,,183
2,54,Undirected,25528,,236
14,12,Undirected,25529,,228
1,40,Undirected,25530,,228
29,144,Undirected,25531,,154
7,29,Undirected,25532,,177
463,95,Undirected,25533,,123
14,31,Undirected,25534,,195
20,28,Undirected,25535,,236
1,78,Undirected,25537,,200
27,22,Undirected,25538,,207
117,0,Undirected,25539,,212
0,101,Undirected,25542,,236
0,69,Undirected,25543,,200
25,28,Undirected,25544,,239
84,1,Undirected,25545,,239
2,86,Undirected,25546,,199
402,145,Undirected,25548,,121
12,146,Undirected,25549,,161
155,0,Undirected,25550,,239
201,76,Undirected,25552,,121
1,54,Undirected,25553,,238
572,0,Undirected,25555,,162
644,52,Undirected,25556,,120
54,148,Undirected,25557,,120
202,0,Undirected,25558,,217
0,149,Undirected,25560,,176
0,108,Undirected,25561,,212
0,150,Undirected,25562,,197
24,7,Undirected,25563,,182
2,74,Undirected,25565,,225
92,7,Undirected,25566,,164
65,27,Undirected,25568,,220
29,127,Undirected,25569,,182
405,125,Undirected,25570,,133
201,51,Undirected,25572,,150
0,152,Undirected,25573,,218
428,153,Undirected,25575,,175
22,1,Undirected,25579,,218
54,28,Undirected,25580,,206
6,24,Undirected,25581,,231
25,90,Undirected,25584,,169
25,92,Undirected,25585,,176
13,49,Undirected,25586,,151
1259,0,Undirected,25588,,138
65,1,Undirected,25590,,227
58,1,Undirected,25592,,230
98,1,Undirected,25593,,222
27,31,Undirected,25594,,220
0,151,Undirected,25601,,216
36,28,Undirected,25603,,211
14,120,Undirected,25604,,158
125,2,Undirected,25606,,217
281,157,Undirected,25607,,116
0,41,Undirected,25609,,201
0,158,Undirected,25610,,213
13,2,Undirected,25612,,206
529,159,Undirected,25616,,115
304,161,Undirected,25620,,138
1151,162,Undirected,25621,,115
80,2,Undirected,25622,,207
85,2,Undirected,25625,,197
64,18,Undirected,25626,,223
11,85,Undirected,25628,,209
61,12,Undirected,25629,,217
61,11,Undirected,25630,,208
141,163,Undirected,25632,,135
618,1,Undirected,25633,,152
195,4,Undirected,25634,,136
6,14,Undirected,25635,,208
256,20,Undirected,25636,,137
52,27,Undirected,25637,,207
0,164,Undirected,25639,,220
0,87,Undirected,25641,,208
153,166,Undirected,25643,,113
61,2,Undirected,25644,,226
8,31,Undirected,25645,,214
239,167,Undirected,25648,,112
29,12,Undirected,25649,,222
29,21,Undirected,25650,,205
27,165,Undirected,25651,,148
54,92,Undirected,25655,,152
84,11,Undirected,25658,,181
91,0,Undirected,25659,,210
1477,168,Undirected,25660,,112
22,18,Undirected,25661,,176
244,0,Undirected,25662,,195
233,169,Undirected,25663,,130
6,29,Undirected,25664,,193
15,8,Undirected,25666,,186
645,83,Undirected,25667,,111
28,24,Undirected,25668,,205
0,170,Undirected,25671,,217
0,172,Undirected,25673,,177
61,25,Undirected,25676,,185
1040,117,Undirected,25677,,134
36,11,Undirected,25678,,213
86,174,Undirected,25680,,140
21,36,Undirected,25683,,207
201,175,Undirected,25684,,110
7,18,Undirected,25685,,210
7,14,Undirected,25686,,195
0,132,Undirected,25688,,181
176,25,Undirected,25689,,150
98,0,Undirected,25691,,210
15,2,Undirected,25693,,215
21,54,Undirected,25694,,189
21,74,Undirected,25695,,172
176,177,Undirected,25699,,135
159,0,Undirected,25700,,201
1,48,Undirected,25702,,217
65,2,Undirected,25704,,203
347,0,Undirected,25705,,172
361,0,Undirected,25707,,168
38,6,Undirected,25708,,200
201,178,Undirected,25709,,108
649,51,Undirected,25710,,145
301,180,Undirected,25713,,146
56,7,Undirected,25714,,205
14,181,Undirected,25715,,133
199,0,Undirected,25718,,205
52,1,Undirected,25722,,205
0,93,Undirected,25723,,147
0,142,Undirected,25725,,177
56,183,Undirected,25726,,139
240,0,Undirected,25728,,192
312,28,Undirected,25729,,131
36,184,Undirected,25730,,107
119,0,Undirected,25731,,179
70,76,Undirected,25734,,120
88,72,Undirected,25735,,166
28,185,Undirected,25736,,106
504,60,Undirected,25737,,125
11,31,Undirected,25738,,190
8,186,Undirected,25740,,145
173,25,Undirected,25742,,181
19,187,Undirected,25743,,155
